seq,seqn,word,phonetic,exchange,trans
447,447/1083,perhaps,英[pә'hæps],,ad.可能;也许
448,448/1083,away,英[ә'wei],,ad.离开;离去;在远处
449,449/1083,twice,英[twais],,ad.两次;两倍
450,450/1083,such,英[sʌtʃ],,pron.这样（那样）a.这样的;如此的
451,451/1083,else,英[els],,ad.其他a.别的
452,452/1083,anywhere,英['enihwєә],,ad.任何地方;无论何处
453,453/1083,still,英[stil],,ad.仍然;还
454,454/1083,so,英[sәu],,ad.像这样;如此conj.因此pron.这样
455,455/1083,even,英['i:vәn],,ad.甚至;更加
456,456/1083,usually,英['ju:ʒuәli],,ad.通常;平常
457,457/1083,as,英[æz］,,ad.同样地prep.作为conj.像...一样
458,458/1083,quite,英[kwait],,ad.非常;十分;相当
459,459/1083,anyway,英['eniwei],,ad.无论如何;不管怎样
460,460/1083,certainly,英['sә:tәnli],,ad.肯定地;当然;一定
461,461/1083,together,英[tә'geðә],,ad.一起;共同
462,462/1083,along,英[ә'lɒŋ],,ad.向前prep.沿着
463,463/1083,already,英[ɒ:l'redi],,ad.已经;早已
464,464/1083,ago,英[ә'gәu],,ad.以前;之前
465,465/1083,ever,英['evә],,ad.曾经;从来;总是
466,466/1083,especially,英[i'speʃәli],,ad.尤其是;特别;专门地
467,467/1083,somewhere,英['sʌmhwєә],,ad.某处;在某处
468,468/1083,below,英[bi'lәu],,ad.在下面prep.在.............之下;低于
469,469/1083,really,英['riәli],,ad.真正地;确实
470,470/1083,round,英[raund],,ade&prep.围综a.圆的n.轮次
471,471/1083,enough,英[i'nʌf],,ad.足够地a.充足的
472,472/1083,recently,英['ri:sntli],,ad.最近;近来
473,473/1083,if,英[if],,conj.如果;是否
474,474/1083,though,英[ðәu],,conj.尽管;虽然
475,475/1083,although,英[ɒ:l'ðou],,conj.尽管;虽然
476,476/1083,whatever,英[hwɒt'evә],,conj.&pron;无论什么;不管什么
477,477/1083,than,英[ðæn],,conj.比prep.比……;超过
478,478/1083,unless,英[.ʌn'les],,conj.如果不;除非
479,479/1083,whether,英['hweðә],,conj.是否;不论;任何一个
480,480/1083,whenever,英[hwen'evә],,conj.每当;无论何时adv.无论何时
481,481/1083,nor,英[nɒ:］,,conj.也不;也不是
482,482/1083,because,英[bi'kɒ:z],,conj.因为;由于
483,483/1083,while,英[hwail],,conj.在.....时候;而n.一会儿
484,484/1083,into,英['intu:],,prep.到...里;变成
485,485/1083,inside,英['in'said],,prep.在......里面ad.在里面
486,486/1083,until,英[әn'til],,prep.&conj.直到...为止;到....时
487,487/1083,untill,英［әn'til］,,prep.&conj.直到...为止;到....时
488,488/1083,above,英[ә'bʌv],,prep.超过;在......之上ad.在上面
489,489/1083,except,英[ik'sept],,prep.除...以外;除去
490,490/1083,among,英[ә'mʌŋ],,prep.在...中;在……之内
491,491/1083,through,英[θru:],,prep.穿过;从始至终ad.穿过
492,492/1083,across,英[ә'krɒs],,rep.穿过;与...交叉ad.越过
493,493/1083,against,英[ә'geinst],,prep.反对;依着;靠着
494,494/1083,off,英[ɒf],,prep.离开ad.中断
495,495/1083,without,英[wi'ðaut],,prep.在.....之外;没有
496,496/1083,opposite,英['ɒpәzit],,prep.在对面a.对立的;相反的
497,497/1083,toward,英[tә'wɒ:d],,prep.面向;朝着
498,498/1083,towards,英[tә'wɔ:dz],,prep.面向;朝着
499,499/1083,during,英['djuәriŋ],,prep.在.....期间;在……过程中
500,500/1083,over,英['әjvә(r)],,prep.在.....上方;越过ad.越过
501,501/1083,upon,英[ә'pɒn],,prep.根据;在.....之上;—;就
502,502/1083,whom,英[hu:m],(who的宾格),pron.谁
503,503/1083,other,英['ʌðә],,pron.别人a.另外的
504,504/1083,several,英['sevәrәl],,pron.几个a.若干
505,505/1083,either,英['i:ðә],,pron.两者中任何一个两者中任一的
506,506/1083,everything,英['evriθiŋ],,pron.每件事;一切
507,507/1083,everybody,英['evribɒdi],,pron.每人;人人
508,508/1083,everyone,英['evriwʌn],,pron.每人;人人
509,509/1083,somebody,英['sʌmbɒdi],,pron.某人;有人
510,510/1083,something,英['sʌmθiŋ],,pron.某事;某物
511,511/1083,someone,英['sʌmwʌn],,pron.某一个人;有人
512,512/1083,which,英[hwitʃ],,pron.哪一个a.这个
513,513/1083,yourself,英[juә'self],(pl.yourselves),pron.你自己;你们自己
514,514/1083,anything,英['eniθiŋ],,pron.任何事情;无论何事
515,515/1083,anyone,英['eniwʌn],,pron.任何人;无论谁
516,516/1083,anybody,英['enibɒdi],,pron.任何人;无论谁
517,517/1083,themselves,英[ðәm'selvz],,pron.他（她;它）们自己
518,518/1083,himself,英[him'self],,pron.他自己;他本人
519,519/1083,itself,英[it'self],,pron.它自己
520,520/1083,hers,英[hә:z],,pron.她的
521,521/1083,herself,英[hә:'self],,pron.她自己;她本人
522,522/1083,ours,英['auәz],,pron.我们的（所有物）
523,523/1083,yours,英[juәz],,pron.你（们）的（所有物）
524,524/1083,mine,英[main],,pron•我的（所有物）n.矿井
525,525/1083,ourselves,英[.auә'selvz],,pron.我们自己
526,526/1083,myself,英[mai'self],,pron.我自己
527,527/1083,none,英[nʌn],,pron.一个都没有;没人
528,528/1083,first,英[fә:st],,num.第一ad.第一次;最先n.起初
529,529/1083,hundred,英['hʌndrәd],,num.&n.一百
530,530/1083,eight,英[eit],,num.&n.八
531,531/1083,eighty,英['eiti],,num.&n.八十
532,532/1083,eighth,英[eitθ],,num.&n.第八
533,533/1083,twentieth,英['twentiiθ],,num.&n.第二十
534,534/1083,ninth,英[nainθ],,num.&n.第九
535,535/1083,sixth,英[siksθ],,num.&n.第六
536,536/1083,seventh,英['sevnθ],,num.&n.第七
537,537/1083,third,英[θә:d],,num.&n.第三
538,538/1083,tenth,英[tenθ],,num.&n.第一卜
539,539/1083,twelfth,英[twelfθ],,num.&n.第十二
540,540/1083,fourth,英[fɒ:θ],,num.&n.第四
541,541/1083,fifth,英[fifθ],,num.&n.第五
542,542/1083,two,英[tu:],,num.&n;二
543,543/1083,twenty,英['twenti],,num.&n.二十
544,544/1083,nine,英[nain],,num.&n.九
545,545/1083,ninety,英['nainti],,num.&n.九十
546,546/1083,six,英[siks],,num.&n・六
547,547/1083,sixty,英['siksti],,num.&n.六一
548,548/1083,seven,英['sevn],,num.&n•七
549,549/1083,seventy,英['sevnti],,num.&n.七十
550,550/1083,three,英[θri:],,num.&n.三
551,551/1083,thirty,英['θә:ti],,num.&n.三十
552,552/1083,ten,英[ten],,num.&n.十
553,553/1083,eighteen,英['ei'ti:n],,num.&n.十八
554,554/1083,twelve,英[twelv],,num.&n.十二
555,555/1083,nineteen,英[.nain'ti:n],,num.&n.十九
556,556/1083,sixteen,英['siks'ti:n],,num.&n.十六
557,557/1083,seventeen,英[sevn'ti:n],,num.&n;一~匕
558,558/1083,thirteen,英['θә:'ti:n],,num.&n.十三
559,559/1083,fourteen,英['fɒ:'ti:n],,num.&n.十四
560,560/1083,fifteen,英['fif'ti:n],,num.&n.十五
561,561/1083,eleven,英[i'levn],,num.&n.十一
562,562/1083,four,英[fɒ:],,num.&n.U!
563,563/1083,forty,英['fɒ:ti],,num.&n.四十
564,564/1083,five,英[faiv],,num.&n.五
565,565/1083,fifty,英['fifti],,num.&n.五十
566,566/1083,one,英[wʌn],,num.&pron.&n.一;一个
567,567/1083,zero,英['ziәrәu],,n.&num.零;零度
568,568/1083,Internet,英['intәnet],,n.互联网;因特网
569,569/1083,instrument,英['instrumәnt],,n.乐器;器具;仪器
570,570/1083,journey,英['dʒә:ni],,n.旅行;行程;历程
571,571/1083,instruction,英[in'strʌkʃәn],,n.使用说明;指导;命令
572,572/1083,hill,英[hil],,n.小山;斜坡
573,573/1083,joke,英[dʒәuk],,n.笑话;玩笑
574,574/1083,least,英[li:st],,n.最少;最小
575,575/1083,standard,英['stændәd],,n.标准a.标准的
576,576/1083,once,英[wʌns],,n.&ad.一次;从前conj.一旦
577,577/1083,T-shirt,[T-ʃә:t],,mT恤衫
578,578/1083,X-ray,英[eksreii],,n.X射线;X光
579,579/1083,hobby,英['hɒbi],,n.爱好;嗜好
580,580/1083,silence,英['sailәns],,n.安静;寂静;沉默
581,581/1083,safety,英['seifti],,n.安全;保险;保安
582,582/1083,Olympics,英[әu'limpiks],,n.奥利匹克运动会;奥运会
583,583/1083,Australia,英[ɒ'streiljә],,n.澳洲;澳大利亚
584,584/1083,board,英[bɒ:d],,n.公告栏;平板;
585,585/1083,office,英['ɒfis],,董事会n.办公室
586,586/1083,baseball,英['beisbɒ:l],,n.棒球
587,587/1083,pound,英[paund],,n.磅;英镑
588,588/1083,newspaper,英['nju:z.peipә],,n.报纸;报社
589,589/1083,background,英['bækgraund],,n.背景;底色
590,590/1083,player,英['pleiә],,n.运动员;演奏者;玩家
591,591/1083,note,英[nәut],,D.笔记;便条V.注意
592,592/1083,notebook,英['nәutbuk],,n.笔记本
593,593/1083,form,英[fɒ:m],,n.表格;形式
594,594/1083,surface,英['sә:fis],,n.表面;地面;水面;外表
595,595/1083,ice,英[ais],,n.冰v.冰冻
596,596/1083,biscuit,英['biskit],,n.饼干;软饼
597,597/1083,pancake,英['pænkeik],,n.薄煎饼;烙饼
598,598/1083,cookie,英['kuki],,n.小甜饼;曲奇饼
599,599/1083,patient,英['peiʃәnt],,n.病人a.耐心的
600,600/1083,glass,英[glɑ:s],,n.玻璃;眼镜
601,601/1083,museum,英[mju:'ziәm],,n.博物馆;博物院
602,602/1083,Britain,英['britәn],,n.不列颠;英国
603,603/1083,part,英[pɑ:t],,n.部分a.部分的v.分离
604,604/1083,wealth,英[welθ],,n.财富;富有;财产
605,605/1083,menu,英['menju:],,n.菜单;（电脑上的）选项单
606,606/1083,tour,英[tuә],,n.旅行;观光;巡演
607,607/1083,silk,英[silk],,n.蚕丝;丝织品
608,608/1083,strawberry,英['strɒ:bәri],,n.草莓
609,609/1083,fork,英[fɒ:k],,n.叉子
610,610/1083,cup,英[kʌp],,n.杯子;奖杯
611,611/1083,difference,英['difәrәns],,n.差别;差数
612,612/1083,product,英['prɒdʌkt],,n.产品;产物
613,613/1083,station,英['steiʃәn],,n.车站;驻地;电台
614,614/1083,success,英[sәk'ses],,n.成功;胜利
615,615/1083,member,英['membә],,n.成员;会员
616,616/1083,pilot,英['pailәt],,n.飞行员;领航员
617,617/1083,town,英[taun],,n.城镇;商业中心区
618,618/1083,passenger,英['pæsindʒә],,n.乘客;旅客
619,619/1083,degree,英[di'gri:],,n.度数;程度;学位
620,620/1083,programme,英['prәugræm],(AEprogram),n.程序v.计划
621,621/1083,size,英[saiz],,n.尺寸;大小
622,622/1083,plenty,英['plenti],,n.充足;大量
623,623/1083,pet,英[pet],,n.宠物
624,624/1083,picnic,英['piknik],,n.&v.野餐
625,625/1083,birth,英[bә:θ],,n.出生;诞生
626,626/1083,tape,英[teip],,n.磁带;录音带
627,627/1083,village,英['vilidʒ],,n.乡村;村庄
628,628/1083,mistake,英[mis'teik],,n.错误v.弄错(mistook;mistaken)
629,629/1083,university,英[.ju:ni'vә:siti],,n.大学
630,630/1083,college,英['kɒlidʒ],,n.大学;学院
631,631/1083,unit,英['ju:nit],,n.单元;单位
632,632/1083,knife,英[naif],(pl.knives),n.刀;匕首v.切开
633,633/1083,island,英['ailәnd],,n.岛;岛屿
634,634/1083,road,英[rәud],,n.道路;公路
635,635/1083,Germany,英［'dʒә:mәni］,,n.德国;德意志
636,636/1083,drop,英[drɒp],,n.滴;水滴v.落下
637,637/1083,enemy,英['enimi],,n.敌人;敌军
638,638/1083,bottom,英['bɒtәm],,n.底部;底层
639,639/1083,geography,英[dʒi'ɒgrәfi],,n.地理;地理学
640,640/1083,ground,英[graund],,n.地面;场地;理由
641,641/1083,earth,英[ɜːθ],,n.地球;土地
642,642/1083,area,英['єәriә],,n.地区;区域;面积
643,643/1083,earthquake,英['ә:θkweik],,n.地震
644,644/1083,address,英[ә'dres],,n.地址v.写地址;演说
645,645/1083,fridge,英[fridʒ],(refrigerato),n.电冰箱;冷冻机
646,646/1083,television,英['teli.viʒәn],,n.电视机
647,647/1083,movie,英['mu:vi],,n.电影;电影院
648,648/1083,top,英[tɒp],,n.顶部;顶端;上部
649,649/1083,thing,英[θiŋ],,n.东西;事情
650,650/1083,hole,英[hәul],,n.洞;洞穴;裂口
651,651/1083,jacket,英['dʒækit],,n.短上衣;夹克衫
652,652/1083,team,英[ti:m],,团队;队伍;小组
653,653/1083,dialogue,英['daiәlɒg],,n.&v.对话;交谈;谈话
654,654/1083,ton,英[tʌn],,n.（重量单位）吨;吨位
655,655/1083,Russia,英['rʌʃә],,n.俄罗斯
656,656/1083,son,英[sʌn],,儿子;孩子
657,657/1083,invention,英[in'venʃәn],,n.发明;创造
658,658/1083,fever,英['fi:vә],,发烧;发热
659,659/1083,discovery,英[dis'kʌvәri],,n.发现;发觉
660,660/1083,pronunciation,英[prәu.nʌnsi'eiʃәn],,n.发音
661,661/1083,development,英[di'velәpmәnt],,n.发展;开发
662,662/1083,France,英[frɑ:ns],,n.法国;法兰西
663,663/1083,law,英[lɒ:],,n.法律;定律
664,664/1083,restaurant,英['restәrɒŋ],,n.饭店;餐馆
665,665/1083,method,英['meθәd],,n.方法;办法
666,666/1083,direction,英[di'rekʃәn],,n.方向;趋向
667,667/1083,visitor,英['vizitә],,n.访问者;参观者
668,668/1083,Africa,英['æfrikә],,n.非洲
669,669/1083,cent,英［sent],,n.分;美分
670,670/1083,chalk,英[tʃɒ:k],,n.粉笔
671,671/1083,wind,英[wind],,n.风;风声;线索
672,672/1083,storm,英[stɒ:m],,n.风暴;（感情）爆发
673,673/1083,risk,英[risk],,n.风险;冒险
674,674/1083,couple,英['kʌpl],,n.夫妇;一对;一些
675,675/1083,service,英['sә:vis],,n.服务;招待
676,676/1083,sense,英[sens],,n.感觉;感官;意识
677,677/1083,feeling,英['fi:liŋ],,n.感情;感觉
678,678/1083,height,英[hait],,n.身高;高度
679,679/1083,pleasure,英['pleʒә],,n.高兴;快乐
680,680/1083,factory,英['fæktәri],,n.工厂;制造厂
681,681/1083,engineer,英[.endʒi'niә],,n.工程师v.设计
682,682/1083,tool,英[tu:l],,n.工具;器具
683,683/1083,industry,英['indәstri],,n.工业;产业
684,684/1083,job,英[dʒɒb],,n.工作;职业
685,685/1083,officer,英['ɒfisә],,n.警察;官员;公务员
686,686/1083,palace,英['pælis],,n.宫殿;王宫
687,687/1083,corn,英[kɒ:n],,n.谷物;玉米
688,688/1083,hometown,英[hәum'taun],,n.故乡;家乡
689,689/1083,customer,英['kʌstәmә],,n.顾客;客户
690,690/1083,relationship,英[ri'leiʃәnʃip],,n.关系;关联
691,691/1083,square,英[skwєә],,n.广场a.平方的
692,692/1083,rule,英[ru:l],,n.规则v.统治
693,693/1083,country,英['kʌntri],,n.国家;农村;乡村
694,694/1083,king,英[kiŋ],,国王;之王
695,695/1083,coast,英[kәust],,n.岸;海岸;滑坡
696,696/1083,beach,英[bi:tʃ],,m海滨;海滩
697,697/1083,sea,英[si:],,n.海洋;大海
698,698/1083,fear,英[fiә],,n.害怕;担忧v.畏惧
699,699/1083,hamburger,英['hæmbә:gә],,n.汉堡包
700,700/1083,action,英['ækʃәn],,n.行动;行为;活跃
701,701/1083,planet,英['plænit],,行星;（the）地球
702,702/1083,peace,英[pi:s],,n.和平;和睦;安宁
703,703/1083,carrot,英['kærәt],,n.胡萝卜
704,704/1083,passport,英['pæspɒ:t],,n.护照;通行证
705,705/1083,garden,英['gɑ:dn],,n.花园;果园
706,706/1083,chemistry,英['kemistri],,n.化学;化学反应
707,707/1083,environment,英[in'vairәnmәnt],,n.环境;外界;周围状况
708,708/1083,queen,英['kwi:n],,n.皇后;女王
709,709/1083,reply,英[ri'plai],,n.答;答复
710,710/1083,mention,英['menʃәn],,n.&v.提及;说及
711,711/1083,meeting,英['mi:tiŋ],,n.会议;集会
712,712/1083,mess,英[mes],,n.凌乱;困境
713,713/1083,activity,英[æk'tiviti],,n.活动;行动;活力
714,714/1083,winner,英['winә],,n.获胜者;赢家
715,715/1083,airport,英['єәpɒ:t],,n.机场;航空站
716,716/1083,chance,英[tʃæns. tʃɑ:ns],,n.机会;可能性
717,717/1083,machine,英[mә'ʃi:n],,n.机器;计算机;车辆
718,718/1083,robot,英['rәubәt],,n.机器人
719,719/1083,wing,英[wiŋ],,n.机翼;翅膀
720,720/1083,guitar,英[gi'tɑ:],,n.吉他
721,721/1083,illness,英['ilnis],,n.疾病;生病
722,722/1083,record,英[ri'kɒ:d],,n.档案;记录;唱片
723,723/1083,skill,英['skil],,n.技能;技巧
724,724/1083,technology,英[tek'nɒlәdʒi],,n.技术;工艺
725,725/1083,Canada,英['kænәdә],,n.加拿大
726,726/1083,homework,英['hәumwә:k],,n.家庭作业;功课
727,727/1083,housework,英['hauswә:k],,n.家务劳动;家务活
728,728/1083,vacation,英[vei'keiʃәn],,n.假期;休假
729,729/1083,price,英[prais],,n.价格;价钱
730,730/1083,value,英['vælju:],,n.价值;益处
731,731/1083,shoulder,英['ʃәuldә],,n.肩膀;肩部
732,732/1083,scissors,英['sizәz],,n.剪刀
733,733/1083,suggestion,英[sә'dʒestʃәn],,n.建议;意见;暗示
734,734/1083,building,英['bildiŋ],,n.建筑物;楼房
735,735/1083,health,英['helθ],,n.健康;健全;卫生
736,736/1083,keyboard,英['ki:bɒ:d],,n.键盘;电子琴
737,737/1083,future,美['fju:tʃә］,,n.将来;未来
738,738/1083,prize,英[praiz],,n.奖赏;奖品
739,739/1083,traffic,英['træfik],,n.交通;流量
740,740/1083,deal,英[di:l],,n.交易v.分配
741,741/1083,glue,英[glu:],,n.胶水v.粘合
742,742/1083,corner,英['kɒ:nә],,n.角;角落
743,743/1083,role,英[rәul],,n.作用;角色
744,744/1083,dumpling,英['dʌmpliŋ],,n.饺子;汤
745,745/1083,step,英[step-],,n.脚步;台阶v.跨步
746,746/1083,coach,英[kәutʃ],,n.教练;家庭教师;经济舱
747,747/1083,classroom,英['klɑ:sru:m],,n.教室;课堂
748,748/1083,education,英[.edju'keiʃәn],,n.教育;培养
749,749/1083,result,英[ri'zʌlt],,n.结果;成绩;答案V.结果
750,750/1083,excuse,英[ik'skju:z],,n.借口;辩解;v.原谅
751,751/1083,gold,英[gәuld],,n.金子;金色a.金的
752,752/1083,treasure,英['treʒә],,n.金银财宝;财富
753,753/1083,progress,英['prәugres],,n.进步v.进展;进行
754,754/1083,dining,英['dainiŋ],,n.进餐;进食
755,755/1083,manager,英['mænidʒә],,n.经理;管理者
756,756/1083,experience,英[ik'spiәriәns],,n.经验;经历v.经历
757,757/1083,spirit,英['spirit],,n.精神;心灵;气质
758,758/1083,neck,英[nek],,n.颈部;脖子
759,759/1083,policeman,英[pә'li:smәn],,n.警察;巡警
760,760/1083,policewoman,英[pә'li:swumәn],,n.警察;巡警
761,761/1083,guard,英[gɑ:d],,n.警卫;保卫;保镖
762,762/1083,competition,英[.kɒmpi'tiʃәn],,n.竞争;比赛;竞赛
763,763/1083,sentence,英['sentәns],,n.句子;判决v.判决
764,764/1083,club,英[klʌb],,n.俱乐部;会所
765,765/1083,decision,英[di'siʒәn],,n.决定;决心
766,766/1083,army,英['ɑ:mi],,n.军队;部队
767,767/1083,coffee,英['kɒfi],,n.咖啡;咖啡色
768,768/1083,truck,英[trʌk],,n.卡车v.用货车运
769,769/1083,exam,英[ig'zæm],(examination),n.考试;测验
770,770/1083,scientist,英['saiәntist],,n.科学家
771,771/1083,guest,英[gest],,n.客人;嘉宾
772,772/1083,course,英[kɒ:s],,n.课程;过程;航线
773,773/1083,space,英[speis],,n.空间;太空;空格键
774,774/1083,pocket,英['pɒkit],,n.口袋a.袖珍的
775,775/1083,chopsticks,英['tʃɒpstiks],,n.筷子（chopstick的名词复数）
776,776/1083,difficulty,英['difikәlti],,n.困难;麻烦
777,777/1083,rubbish,英['rʌbiʃ],,n.垃圾;废物（美trash）
778,778/1083,candle,英['kændl],,n.蜡烛
779,779/1083,basket,英['bɑ:skit],,n.篮子;框子
780,780/1083,boss,英[bɒs],,n.老板;上司
781,781/1083,fun,英[fʌn],,乐趣;娱乐活动
782,782/1083,pear,英[pєә],,n.梨子;梨树
783,783/1083,present,英['preznt],,n.礼物;赠品
784,784/1083,history,英['histәri],,n.历史;发展过程
785,785/1083,example,英[ig'zæmpl],,n.例子;榜样
786,786/1083,pity,英['piti],,n.怜悯;同情;可惜
787,787/1083,UK,英[ju: 'kei],,n.英国
788,788/1083,practice,英['præktis],,n.练习;实践
789,789/1083,neighbour,英['neibә],(AmEneighbor),n.邻居;邻国
790,790/1083,bell,英[bel],,n.铃铛;钟声
791,791/1083,leader,英['li:dә],,n.领导人;领先者
792,792/1083,land,英[lænd],,n.陆地;土地v.登岸
793,793/1083,video,英['vidiәu],,n.录像;视频
794,794/1083,London,英['lʌndәn],,n・伦敦
795,795/1083,wheel,英[hwi:l],,n.轮子;机轮
796,796/1083,hotel,英[hәu'tel],,n.旅馆;宾馆
797,797/1083,trip,英[trip],,旅行;旅程
798,798/1083,tourist,英['tuәrist],,n.旅行者;游客
799,799/1083,yard,英[jɑ:d],,n.码;场所;院子
800,800/1083,ant,英[ænt],,n.蚂蚁
801,801/1083,sale,英[seil],,n.售卖;出售
802,802/1083,cartoon,英[kɑ:'tu:n],,n.漫画;动画片
803,803/1083,trade,英[treid],,n.交易;贸易v.进行交换
804,804/1083,hat,英[hæt],,n.（带沿的）帽子
805,805/1083,nothing,英['nʌθiŋ],,n.没有东西;什么都没有ad.一点也不
806,806/1083,rose,英[rәuz],,n.玫瑰花;玫瑰红
807,807/1083,coal,英[kәul],,n.煤;煤块
808,808/1083,dollar,英['dɒlә],,n.美元
809,809/1083,gate,英[geit],,大门;登机口
810,810/1083,metre,英['mi:tә],(AmEmeter),n.米
811,811/1083,secret,英['si:krit],,n.秘密a.秘密的
812,812/1083,secretary,英['sekrәtәri],,n.秘书;大臣
813,813/1083,postcard,英['pәustkɑ:d],,n.明信片
814,814/1083,model,英['mɒdәl],,n.模型;范例;模特儿
815,815/1083,stranger,英['streindʒә],,n.陌生人;异乡人
816,816/1083,hen,英[hen],,n.母鸡
817,817/1083,wood,英[wud],,n.木头;树木
818,818/1083,purpose,英['pә:pәs],,n.目的;意图
819,819/1083,brain,英[brein],,n.大脑;头脑
820,820/1083,ability,英[ә'biliti],,n.能力;才能
821,821/1083,grade,英[greid],,n.年级;成绩;等级
822,822/1083,age,英[eidʒ],,n.年龄;时代
823,823/1083,lemon,英['lemәn],,n.柠檬;柠檬黄
824,824/1083,beef,英[bi:f],,n.牛肉
825,825/1083,daughter,英['dɒ:tә],,n.女儿
826,826/1083,lady,英['leidi],,n.女士;小姐
827,827/1083,actress,英['æktris],,n.女演员
828,828/1083,blouse,英[blauz],,n.女式衬衫;宽松上衣
829,829/1083,Europe,英['juәrәp],,n.欧洲;欧盟
830,830/1083,blow,英[blәu],,n.风吹;吹气;打击
831,831/1083,volleyball,英['vɒlibɒ:l],,n.排球
832,832/1083,dish,英[diʃ],,n.盘;一盘菜;一道菜
833,833/1083,side,英[said],,n.边;侧面v.支持
834,834/1083,training,英['treiniŋ],,n.培训;训练
835,835/1083,ticket,英['tikit],,n.（电影;车）票;入场券
836,836/1083,weekday,英['wi:kdei],,n.平日;工作日
837,837/1083,screen,英[skri:n],,n.屏幕;屏风
838,838/1083,bottle,英['bɒtl],,n.瓶子
839,839/1083,grape,英[greip],,n.葡萄
840,840/1083,wife,英[waif],,n.妻子
841,841/1083,chess,英[tʃes],,n.棋;国际象棋
842,842/1083,flag,英[flæg],,n.旗;旗帜
843,843/1083,balloon,英[bә'lu:n],,n.气球
844,844/1083,kilo,英['kiәlj],(=kilogram),n.千克;公斤
845,845/1083,kilometre,英['kilәjmi:tә(r)],(AmEkilometer),n.千米;公里
846,846/1083,money,英['mʌni],,n.钱;金钱;货币
847,847/1083,wallet,英['wɒlit],,n.钱夹;钱包
848,848/1083,gun,英[gʌn],,n.枪;炮
849,849/1083,wall,英[wɒ:l],,n.墙壁
850,850/1083,bridge,英[bridʒ],,n.桥梁;纽带
851,851/1083,chocolate,英['tʃɒkәlit],,n.巧克力
852,852/1083,relative,英['relәtiv],,n.亲属a.相对的
853,853/1083,bedroom,英['bedrum],,n.寝室;卧室
854,854/1083,list,英[list],,n.列表;清单
855,855/1083,sign,英[sain],,n.标记;痕迹v.签名
856,856/1083,advice,英[әd'vais],,n.建议;忠告;劝告
857,857/1083,heat,英[hi:t],,n.热;高温v.加热
858,858/1083,person,英['pә:sn],,.人
859,859/1083,human,英['hju:mәn],,n.人;人类
860,860/1083,population,英[.pɒpju'leiʃәn],,n.人口;人口数
861,861/1083,task,英[tɑ:sk],,n.任务;工作
862,862/1083,Japan,英[dʒә'pæn],,n.日本
863,863/1083,Japanese,英[.dʒæpә'ni:z],,n.日本人;日语a.日本的
864,864/1083,diary,英['daiәri],,.日记;日记本
865,865/1083,calendar,英['kælindә],,n.日历
866,866/1083,date,英[deit],,n.日期;约会
867,867/1083,meat,英[mi:t],,n.肉;肉类（总称）
868,868/1083,race,英[reis],,n.赛跑;竞赛;种族
869,869/1083,sandwich,英['sændwitʃ],,n.三明治
870,870/1083,salad,英['sælәd],,色拉;沙拉
871,871/1083,forest,英['fɒrist],,n.森林;树林
872,872/1083,sofa,英['sәufә],,沙发
873,873/1083,sand,英[sænd],,n.沙子;沙地;沙滩
874,874/1083,mountain,英['mauntin],,n.高山;山脉;山区
875,875/1083,snake,英[sneik],,n.蛇
876,876/1083,society,英[sә'saiәti],,n.社会
877,877/1083,community,英[kә'mju:niti],,n.社区;社团
878,878/1083,gentleman,英['dʒentlmәn],,n.先生;绅士;
879,879/1083,life,英[laif],（复lives）,n.生命;生活
880,880/1083,business,英['biznis],,n.商业;生意;事情
881,881/1083,noise,英[nɒiz],,n.噪音;杂音;喧闹声
882,882/1083,rope,英[rәup],,n.绳子
883,883/1083,line,英[lain],,n.线条;行
884,884/1083,Christmas,英['krismәs],,n.圣诞节
885,885/1083,victory,英['viktәri],,n.胜利
886,886/1083,poem,英['pәuim],,n.诗歌
887,887/1083,lion,英['laiәn],,n.狮子
888,888/1083,December,英[diˈsembə],,n.十二月
889,889/1083,June,英[dʒu:n],,n.六月
890,890/1083,September,英[sep'tembә],,n.九月
891,891/1083,May,英[mei],,n.五月
892,892/1083,August,英［ɒ:'gʌst］,,n.八月
893,893/1083,March,英[mɑ:tʃ],,n.三月
894,894/1083,July,英［dʒu:'lai］,,n.七月
895,895/1083,February,英['februәri],,n.二月
896,896/1083,April,英['eiprәl],,n.四月
897,897/1083,January,英['dʒænjuәri］,,n.一月
898,898/1083,November,英[nəuˈvembə],,n.十一月
899,899/1083,October,英[ɒk'tәubә],,n.十月
900,900/1083,stone,英[stәun],,n.石头;石块
901,901/1083,period,英['piәriәd],,n.时期;时代
902,902/1083,lab,英[læb],(=laboratory),n.实验室
903,903/1083,century,英['sentʃuri],,n.世纪;百年
904,904/1083,world,英[wә:ld],,n.世界;世间;天下
905,905/1083,market,英['mɑ:kit],,n.市场;集市
906,906/1083,fact,英[fækt],,n.事实;真相
907,907/1083,spoon,英[spu:n],,n.汤匙;调羹
908,908/1083,glove,英[glʌv],,n.手套
909,909/1083,handbag,英['hændbæg],,n.手提包;手袋
910,910/1083,finger,英['fiŋgә],,n.手指
911,911/1083,capital,英['kæpitәl],,n.首都;资本;大写字母
912,912/1083,mouse,英[maus],（pl.mice）,n.老鼠;鼠标
913,913/1083,number,英['nʌmbә],,n.数字;数量
914,914/1083,pool,英[pu:l],,n.水池;池子
915,915/1083,level,英['levl],,n.水平线;水平
916,916/1083,voice,英[vɒis],,n.声音;嗓音;愿望
917,917/1083,thought,英[θɒ:t],,n.思想;思考;想法
